District,Area,Street,Postal Code
Abuja (Capital),Asokoro,Inner Southern Express Way,900231
Abuja (Capital),Asokoro,Jomo Kenyatta Street,900231
Abuja (Capital),Asokoro,Joshua Nkonwo Street,900231
Abuja (Capital),Asokoro,Julius Nyerere Cresent,900231
Abuja (Capital),Asokoro,Kenneth Kaunda Street,900231
Abuja (Capital),Asokoro,Kwame Nkurma Cresent,900231
Abuja (Capital),Asokoro,Loius Edet Street,900231
Abuja (Capital),Asokoro,Mathew Kerekou Street,900231
Abuja (Capital),Asokoro,Murtala Mohammed Way,900231
Abuja (Capital),Asokoro,Musa Traore Cresent,900231
Abuja (Capital),Asokoro,Nelson Mandala Street,900231
Abuja (Capital),Asokoro,Patrice Lumimuba Street,900231
Abuja (Capital),Asokoro,Robert Mugabe Street,900231
Abuja (Capital),Asokoro,Sebghor Street,900231
Abuja (Capital),Asokoro,Siaka Streetvens Street,900231
Abuja (Capital),Asokoro,Thomas Sankara Street,900231
Abuja (Capital),Asokoro,2nd Ave․,900211
Abuja (Capital),Central Business District,2nd Ave․,900211
Abuja (Capital),Central Business District,3 Ave․,900211
Abuja (Capital),Central Business District,4th Ave․,900211
Abuja (Capital),Central Business District,Abuja Dr․,900211
Abuja (Capital),Central Business District,Ahmadu Bello Way,900211
Abuja (Capital),Central Business District,Constitution Rd․,900211
Abuja (Capital),Central Business District,Hospital Ave․,900211
Abuja (Capital),Central Business District,Independence Ave.,900211
Abuja (Capital),Central Business District,Inner Express (N) Way,900211
Abuja (Capital),Central Business District,Mohammed Buhari Way,900211
Abuja (Capital),Central Business District,North Transit Way,900211
Abuja (Capital),Central Business District,Northern Express Way,900211
Abuja (Capital),Central Business District,Olusegun Obasanjo Way,900211
Abuja (Capital),Central Business District,Shehu Shagari Way,900211
Abuja (Capital),Central Business District,South Transit Way,900211
Abuja (Capital),Central Business District,Tafawa Balewa Way.,900211
Abuja (Capital),Central Business District,Aladja Street,900241
Abuja (Capital),Garki Area 1,Aladja Street,900241
Abuja (Capital),Garki Area 1,Auchi Street,900241
Abuja (Capital),Garki Area 1,Benue Cresent,900241
Abuja (Capital),Garki Area 1,Faskari Street,900241
Abuja (Capital),Garki Area 1,Ijero Street,900241
Abuja (Capital),Garki Area 1,Imo Cresent,900241
Abuja (Capital),Garki Area 1,Kano Street,900241
Abuja (Capital),Garki Area 1,Kaura Namoda Street,900241
Abuja (Capital),Garki Area 1,Lapai Street,900241
Abuja (Capital),Garki Area 1,Mashood-Abiola Way,900241
Abuja (Capital),Garki Area 1,Nassarawa Street,900241
Abuja (Capital),Garki Area 1,Nnamdi Azikwe Way,900241
Abuja (Capital),Garki Area 1,Ondo Street,900241
Abuja (Capital),Garki Area 1,Oyo Street,900241
Abuja (Capital),Garki Area 1,Sokoto Street,900241
Abuja (Capital),Garki Area 1,Suleja Street,900241
Abuja (Capital),Garki Area 1,Abakaliki Street,900242
Abuja (Capital),Garki Area 2,Abakaliki Street,900242
Abuja (Capital),Garki Area 2,Abuja Parks Way.,900242
Abuja (Capital),Garki Area 2,Benin Street,900243
Abuja (Capital),Garki Area 3,Benin Street,900243
Abuja (Capital),Garki Area 3,Birnin Kebbi Street,900243
Abuja (Capital),Garki Area 3,Cresentss River Street,900243
Abuja (Capital),Garki Area 3,Funmilayo Ransomekuti Road Rd․,900243
Abuja (Capital),Garki Area 3,Gongola Street,900243
Abuja (Capital),Garki Area 3,Ibadan Street,900243
Abuja (Capital),Garki Area 3,Ikare Street,900243
Abuja (Capital),Garki Area 3,Jalingo Street,900243
Abuja (Capital),Garki Area 3,Jos Street,900243
Abuja (Capital),Garki Area 3,Katagun Street,900243
Abuja (Capital),Garki Area 3,Kaura-Namoda Street,900243
Abuja (Capital),Garki Area 3,Kazaure Street,900243
Abuja (Capital),Garki Area 3,Moshood Abiola Way,900243
Abuja (Capital),Garki Area 3,Mubi Street,900243
Abuja (Capital),Garki Area 3,Nnewi Street,900243
Abuja (Capital),Garki Area 3,Okigwe Street,900243
Abuja (Capital),Garki Area 3,Orlu Street,900243
Abuja (Capital),Garki Area 3,Oyo Street,900243
Abuja (Capital),Garki Area 3,Tafawa Balewa Way,900243
Abuja (Capital),Garki Area 3,Yenagoa Street,900243
Abuja (Capital),Garki Area 3,Calabar Street,900244
Abuja (Capital),Garki Area 7,Calabar Street,900244
Abuja (Capital),Garki Area 7,Herbat-Macualay (S) Way,900244
Abuja (Capital),Garki Area 7,Kam-Salem Street,900244
Abuja (Capital),Garki Area 7,Muhammadu-Bahari Way,900244
Abuja (Capital),Garki Area 7,Obafemi Awolowo Way,900244
Abuja (Capital),Garki Area 7,Tafawa Balewa Way,900244
Abuja (Capital),Garki Area 7,Yola Street,900244
Abuja (Capital),Garki Area 7,Abeokuta Street,900245
Abuja (Capital),Garki Area 8,Abeokuta Street,900245
Abuja (Capital),Garki Area 8,Ile-Ife Street,900245
Abuja (Capital),Garki Area 8,Ilorin Street,900245
Abuja (Capital),Garki Area 8,Minna Street,900245
Abuja (Capital),Garki Area 8,Muhammadu Buhari Way,900245
Abuja (Capital),Garki Area 8,Ogbomosho Street,900245
Abuja (Capital),Garki Area 8,Tafawa Balewa Way.,900245
Abuja (Capital),Garki Area 8,Access Road Rd․,900246
Abuja (Capital),Garki Area 10,Access Road Rd․,900246
Abuja (Capital),Garki Area 10,Akure Street,900246
Abuja (Capital),Garki Area 10,Borno Street,900246
Abuja (Capital),Garki Area 10,Herbert Macaulay Way,900246
Abuja (Capital),Garki Area 10,Idah Street,900246
Abuja (Capital),Garki Area 10,Markui Street,900246
Abuja (Capital),Garki Area 10,Mashood Abiola Way,900246
Abuja (Capital),Garki Area 10,Muhammadu Buhari Way,900246
Abuja (Capital),Garki Area 10,Olusegun Obasanjo Way.,900246
Abuja (Capital),Garki Area 10,Ahmadu Bello Street,900247
Abuja (Capital),Garki Area 11,Ahmadu Bello Street,900247
Abuja (Capital),Garki Area 11,Birnin Kebbi StreetStreet,900247
Abuja (Capital),Garki Area 11,Dutse Street,900247
Abuja (Capital),Garki Area 11,Ekiti Street,900247
Abuja (Capital),Garki Area 11,Lagos Cresent,900247
Abuja (Capital),Garki Area 11,Moshood Abiola Way,900247
Abuja (Capital),Garki Area 11,Nsukka Street,900247
Abuja (Capital),Garki Area 11,Obafemi Awolowo Street,900247
Abuja (Capital),Garki Area 11,Oka Akoko Street,900247
Abuja (Capital),Garki Area 11,Oke Agbe Street,900247
Abuja (Capital),Garki Area 11,Olusegun Abasanjo Way,900247
Abuja (Capital),Garki Area 11,Port Harcourt Street,900247
Abuja (Capital),Garki Area 11,S.L. Akintola BLV BLV.,900247
Abuja (Capital),Garki Area 11,Sapele Street,900247
Abuja (Capital),Garki Area 11,Shagamu Street,900247
Abuja (Capital),Garki Area 11,Tafawa Balewa Way,900247
Abuja (Capital),Garki Area 11,Uyo Cresent,900247
Abuja (Capital),Garki Area 11,Warri Street,900247
Abuja (Capital),Garki Area 11,Akore Cresent,900271
Abuja (Capital),Maitama,Akore Cresent,900271
Abuja (Capital),Maitama,Amsteam Street,900271
Abuja (Capital),Maitama,Asa Street,900271
Abuja (Capital),Maitama,Barawa Street,900271
Abuja (Capital),Maitama,Cesteem Street,900271
Abuja (Capital),Maitama,Challawa Cresent,900271
Abuja (Capital),Maitama,Cuito Street,900271
Abuja (Capital),Maitama,Komoe Cresent,900271
Abuja (Capital),Maitama,Lake Cha Cresent,900271
Abuja (Capital),Maitama,Limropo Street,900271
Abuja (Capital),Maitama,Madeira Street,900271
Abuja (Capital),Maitama,Ngadda Cresent,900271
Abuja (Capital),Maitama,Nue Street,900271
Abuja (Capital),Maitama,Ofiki Street,900271
Abuja (Capital),Maitama,Ona Cresent,900271
Abuja (Capital),Maitama,Onega Street,900271
Abuja (Capital),Maitama,Ontario Cresent,900271
Abuja (Capital),Maitama,Onwul Cresent,900271
Abuja (Capital),Maitama,Orange Cresent,900271
Abuja (Capital),Maitama,Osse Street,900271
Abuja (Capital),Maitama,Punji Cresent,900271
Abuja (Capital),Maitama,Rio Gaia Street,900271
Abuja (Capital),Maitama,Rudolf Street,900271
Abuja (Capital),Maitama,Sambreiro Cresent,900271
Abuja (Capital),Maitama,Tana Street,900271
Abuja (Capital),Maitama,Taraba Cresent,900271
Abuja (Capital),Maitama,Usuma Street,900271
Abuja (Capital),Maitama,Volta Cresent,900271
Abuja (Capital),Maitama,Wuye Cresent,900271
Abuja (Capital),Maitama,Yapa Street,900271
Abuja (Capital),Maitama,Zaire Cresent,900271
Abuja (Capital),Maitama,Zambezi Cresent,900271
Abuja (Capital),Maitama,Zamfara Cresent,900271
Abuja (Capital),Maitama,Aguyi Ironsi Street,900271
Abuja (Capital),Maitama,Alvan Ikoko Way,900271
Abuja (Capital),Maitama,Amazon Street,900271
Abuja (Capital),Maitama,Batanji Cresent,900271
Abuja (Capital),Maitama,Danube Street,900271
Abuja (Capital),Maitama,Dep. Street,900271
Abuja (Capital),Maitama,Erie Cresent,900271
Abuja (Capital),Maitama,Euphrates Street,900271
Abuja (Capital),Maitama,Gana Street,900271
Abuja (Capital),Maitama,Ganges Street,900271
Abuja (Capital),Maitama,Ibrahim Babangida Way,900271
Abuja (Capital),Maitama,Inner Northern Express Way,900271
Abuja (Capital),Maitama,Katsina Ala Cresent,900271
Abuja (Capital),Maitama,Kunene Cresent,900271
Abuja (Capital),Maitama,Lena Cresent,900271
Abuja (Capital),Maitama,Mississippi Street,900271
Abuja (Capital),Maitama,Murtala Mohd (N) Way,900271
Abuja (Capital),Maitama,Nile Street,900271
Abuja (Capital),Maitama,Nnamdi Azikwe Way,900271
Abuja (Capital),Maitama,North Transit Way,900271
Abuja (Capital),Maitama,Orinaco Cresent,900271
Abuja (Capital),Maitama,Osun Street,900271
Abuja (Capital),Maitama,Panama Street,900271
Abuja (Capital),Maitama,Rhine Street,900271
Abuja (Capital),Maitama,Rima Street,900271
Abuja (Capital),Maitama,Ruwana Street,900271
Abuja (Capital),Maitama,Sangha Street,900271
Abuja (Capital),Maitama,Shasha Cresent,900271
Abuja (Capital),Maitama,Shehu Shagari (N) Way,900271
Abuja (Capital),Maitama,Shehu Yaradua Way,900271
Abuja (Capital),Maitama,Tanganyika Street,900271
Abuja (Capital),Maitama,Tennesse Cresent,900271
Abuja (Capital),Maitama,Tubo Cresent,900271
Abuja (Capital),Maitama,Uruguay Street,900271
Abuja (Capital),Maitama,Vaal Street,900271
Abuja (Capital),Maitama,Vananern Cresent,900271
Abuja (Capital),Maitama,Vattern Street,900271
Abuja (Capital),Maitama,Volga Street,900271
Abuja (Capital),Maitama,Alvan Ikoku Way,900221
Abuja (Capital),Three Arms Zone,Alvan Ikoku Way,900221
Abuja (Capital),Three Arms Zone,Asokoro Ave.,900221
Abuja (Capital),Three Arms Zone,Inner Northern Express Way,900221
Abuja (Capital),Three Arms Zone,"Maitama Ave., Mississippi Street",900221
Abuja (Capital),Three Arms Zone,Murtala Mohammed Exp (N) Way,900221
Abuja (Capital),Three Arms Zone,Outhern Northern Express Way,900221
Abuja (Capital),Three Arms Zone,Shehu Shagari (S) Way,900221
Abuja (Capital),Three Arms Zone,Thames Street,900221
Abuja (Capital),Three Arms Zone,Tigris Cresent,900221
Abuja (Capital),Three Arms Zone,Yedsebam Street,900221
Abuja (Capital),Three Arms Zone,Zambezi Cresent,900221
Abuja (Capital),Three Arms Zone,Adetokunbo Ademola Cresent,900288
Abuja (Capital),Wuse II,Adetokunbo Ademola Cresent,900288
Abuja (Capital),Wuse II,Agadez Cresent,900288
Abuja (Capital),Wuse II,Ahmadu Bello Way,900288
Abuja (Capital),Wuse II,Alex Sandra Cresent,900288
Abuja (Capital),Wuse II,Aminu Kano Cresent,900288
Abuja (Capital),Wuse II,Baguy Street,900288
Abuja (Capital),Wuse II,Bajul Street,900288
Abuja (Capital),Wuse II,Bantyle Street,900288
Abuja (Capital),Wuse II,Barosalem Street,900288
Abuja (Capital),Wuse II,Beira Street,900288
Abuja (Capital),Wuse II,Buchanan Cresent,900288
Abuja (Capital),Wuse II,Bujmburra Street,900288
Abuja (Capital),Wuse II,Cassabulanka Street,900288
Abuja (Capital),Wuse II,Durban Street,900288
Abuja (Capital),Wuse II,Fez Street,900288
Abuja (Capital),Wuse II,Freetown Street,900288
Abuja (Capital),Wuse II,Herbert Macualay Way,900288
Abuja (Capital),Wuse II,Hombari Street,900288
Abuja (Capital),Wuse II,Ibrahim Babangida Way,900288
Abuja (Capital),Wuse II,Kampala Street,900288
Abuja (Capital),Wuse II,Kumasi Street,900288
Abuja (Capital),Wuse II,Libravile Cresent,900288
Abuja (Capital),Wuse II,Lingu Cresent,900288
Abuja (Capital),Wuse II,Lubito Cresent,900288
Abuja (Capital),Wuse II,Madona Cresent,900288
Abuja (Capital),Wuse II,Marakeshi Street,900288
Abuja (Capital),Wuse II,Metel Street,900288
Abuja (Capital),Wuse II,Moronvia Street,900288
Abuja (Capital),Wuse II,Moshi Cresent,900288
Abuja (Capital),Wuse II,Nairobi Cresent,900288
Abuja (Capital),Wuse II,Northern Park Way,900288
Abuja (Capital),Wuse II,Ojibuti Cresent,900288
Abuja (Capital),Wuse II,Outher Northern Transit Way,900288
Abuja (Capital),Wuse II,Partomuro Cresent,900288
Abuja (Capital),Wuse II,Sani Abacha Way,900288
Abuja (Capital),Wuse II,Sekondi Street,900288
Abuja (Capital),Wuse II,Sir Kasim Ibrahim Way,900288
Abuja (Capital),Wuse II,Sultan Abubakar Street,900288
Abuja (Capital),Wuse II,Tarkwa Cresent,900288
Abuja (Capital),Wuse II,Wanda Cresent,900288
Abuja (Capital),Wuse II,Arugha Cresent,900281
Abuja (Capital),Wuse Zone 1,Arugha Cresent,900281
Abuja (Capital),Wuse Zone 1,Bulao Street,900281
Abuja (Capital),Wuse Zone 1,Choma Street,900281
Abuja (Capital),Wuse Zone 1,Delta Street,900281
Abuja (Capital),Wuse Zone 1,Garowa Street,900281
Abuja (Capital),Wuse Zone 1,Gondet Street,900281
Abuja (Capital),Wuse Zone 1,Harper Cresent,900281
Abuja (Capital),Wuse Zone 1,Humanbo Cresent,900281
Abuja (Capital),Wuse Zone 1,Kaolack Street,900281
Abuja (Capital),Wuse Zone 1,Kayes Street,900281
Abuja (Capital),Wuse Zone 1,Kigali Street,900281
Abuja (Capital),Wuse Zone 1,Massana Street,900281
Abuja (Capital),Wuse Zone 1,Nouachchott Street,900281
Abuja (Capital),Wuse Zone 1,Oran Street,900281
Abuja (Capital),Wuse Zone 1,Sultan Abubakar Way,900281
Abuja (Capital),Wuse Zone 1,Sunyani Street,900281
Abuja (Capital),Wuse Zone 1,Umme Street,900281
Abuja (Capital),Wuse Zone 1,Yanorach Street,900281
Abuja (Capital),Wuse Zone 1,Angola Street,900282
Abuja (Capital),Wuse Zone 2,Angola Street,900282
Abuja (Capital),Wuse Zone 2,Bechar Street,900282
Abuja (Capital),Wuse Zone 2,Burundi Street,900282
Abuja (Capital),Wuse Zone 2,Faranmi Street,900282
Abuja (Capital),Wuse Zone 2,Gabes Street,900282
Abuja (Capital),Wuse Zone 2,Gaborone Street,900282
Abuja (Capital),Wuse Zone 2,Kisiamu Street,900282
Abuja (Capital),Wuse Zone 2,Khartoum Street,900282
Abuja (Capital),Wuse Zone 2,Koforidua Street,900282
Abuja (Capital),Wuse Zone 2,Korhogo Street,900282
Abuja (Capital),Wuse Zone 2,Kribi Street,900282
Abuja (Capital),Wuse Zone 2,Kumba Street,900282
Abuja (Capital),Wuse Zone 2,Lavumisa Street,900282
Abuja (Capital),Wuse Zone 2,Mambolo Street,900282
Abuja (Capital),Wuse Zone 2,Michael Okpara Street,900282
Abuja (Capital),Wuse Zone 2,Naimey Street,900282
Abuja (Capital),Wuse Zone 2,Quagadougou Street,900282
Abuja (Capital),Wuse Zone 2,Senanga Street,900282
Abuja (Capital),Wuse Zone 2,Sultan Abubakar Street,900282
Abuja (Capital),Wuse Zone 2,Tourggourt Street,900282
Abuja (Capital),Wuse Zone 2,Abidjam Street,900283
Abuja (Capital),Wuse Zone 3,Abidjam Street,900283
Abuja (Capital),Wuse Zone 3,Al Fayyan Street,900283
Abuja (Capital),Wuse Zone 3,Algeria Street,900283
Abuja (Capital),Wuse Zone 3,Aswan Street,900283
Abuja (Capital),Wuse Zone 3,Bamenda Street,900283
Abuja (Capital),Wuse Zone 3,Casamank Cresent,900283
Abuja (Capital),Wuse Zone 3,Conakry Street,900283
Abuja (Capital),Wuse Zone 3,Diourbell Street,900283
Abuja (Capital),Wuse Zone 3,Herbert Marcaulay Way,900283
Abuja (Capital),Wuse Zone 3,Lubumbrasiru Street,900283
Abuja (Capital),Wuse Zone 3,Lukulu Street,900283
Abuja (Capital),Wuse Zone 3,Maputo Street,900283
Abuja (Capital),Wuse Zone 3,Matadi Cresent,900283
Abuja (Capital),Wuse Zone 3,Mosadishu Street,900283
Abuja (Capital),Wuse Zone 3,Nampola Street,900283
Abuja (Capital),Wuse Zone 3,Ndande Cresent,900283
Abuja (Capital),Wuse Zone 3,Olusegun Obasanjo Way,900283
Abuja (Capital),Wuse Zone 3,Safar Street,900283
Abuja (Capital),Wuse Zone 3,Sultan Abukakar Way,900283
Abuja (Capital),Wuse Zone 3,Yele Street,900283
Abuja (Capital),Wuse Zone 3,Addis Ababa Street,900284
Abuja (Capital),Wuse Zone 4,Addis Ababa Street,900284
Abuja (Capital),Wuse Zone 4,Bencrat Street,900284
Abuja (Capital),Wuse Zone 4,Constantins Street,900284
Abuja (Capital),Wuse Zone 4,Farnah Street,900284
Abuja (Capital),Wuse Zone 4,Herbert Macaulay (N) Way,900284
Abuja (Capital),Wuse Zone 4,Hontserrado Street,900284
Abuja (Capital),Wuse Zone 4,Ibrahim Babangida Way,900284
Abuja (Capital),Wuse Zone 4,Kainiji Cresent,900284
Abuja (Capital),Wuse Zone 4,Kasim Ibrahim Way,900284
Abuja (Capital),Wuse Zone 4,Ladi Kwali Street,900284
Abuja (Capital),Wuse Zone 4,Manzani Street,900284
Abuja (Capital),Wuse Zone 4,Mexnes Street,900284
Abuja (Capital),Wuse Zone 4,Mogadehu Street,900284
Abuja (Capital),Wuse Zone 4,Portsad Street,900284
Abuja (Capital),Wuse Zone 4,Safi Street,900284
Abuja (Capital),Wuse Zone 4,Zuez Cresent,900284
Abuja (Capital),Wuse Zone 4,Accra Street,900285
Abuja (Capital),Wuse Zone 5,Accra Street,900285
Abuja (Capital),Wuse Zone 5,Algiers Street,900285
Abuja (Capital),Wuse Zone 5,Atarare Street,900285
Abuja (Capital),Wuse Zone 5,Burundi Street,900285
Abuja (Capital),Wuse Zone 5,Cabanda Street,900285
Abuja (Capital),Wuse Zone 5,Dalaba Street,900285
Abuja (Capital),Wuse Zone 5,Damathur Street,900285
Abuja (Capital),Wuse Zone 5,Dambia Street,900285
Abuja (Capital),Wuse Zone 5,Doula Street,900285
Abuja (Capital),Wuse Zone 5,Hargeysa Street,900285
Abuja (Capital),Wuse Zone 5,Herbert Macualay Way,900285
Abuja (Capital),Wuse Zone 5,Khartoum Street,900285
Abuja (Capital),Wuse Zone 5,Michael Okpara Street,900285
Abuja (Capital),Wuse Zone 5,Mousassa Street,900285
Abuja (Capital),Wuse Zone 5,Nnamdi Azikiwe Way,900285
Abuja (Capital),Wuse Zone 5,Senanga Street,900285
Abuja (Capital),Wuse Zone 5,Sokode Cresent,900285
Abuja (Capital),Wuse Zone 5,Sultan Abubakar Way,900285
Abuja (Capital),Wuse Zone 5,Winneba Street,900285
Abuja (Capital),Wuse Zone 5,Abuja Parks Way,900286
Abuja (Capital),Wuse Zone 6,Abuja Parks Way,900286
Abuja (Capital),Wuse Zone 6,Angola Street,900286
Abuja (Capital),Wuse Zone 6,Asamafa Street,900286
Abuja (Capital),Wuse Zone 6,Berbera Street,900286
Abuja (Capital),Wuse Zone 6,Beyla Street,900286
Abuja (Capital),Wuse Zone 6,Bouake Street,900286
Abuja (Capital),Wuse Zone 6,Coronour Street,900286
Abuja (Capital),Wuse Zone 6,Dire-Dawa Street,900286
Abuja (Capital),Wuse Zone 6,Dodama Street,900286
Abuja (Capital),Wuse Zone 6,Harere Street,900286
Abuja (Capital),Wuse Zone 6,Herbert Macualay Way,900286
Abuja (Capital),Wuse Zone 6,Jimma Street,900286
Abuja (Capital),Wuse Zone 6,Kasim Ibrahim Way,900286
Abuja (Capital),Wuse Zone 6,Kelemie Street,900286
Abuja (Capital),Wuse Zone 6,Kinshasha Street,900286
Abuja (Capital),Wuse Zone 6,Magenta Street,900286
Abuja (Capital),Wuse Zone 6,Makeni Street,900286
Abuja (Capital),Wuse Zone 6,Massru Street,900286
Abuja (Capital),Wuse Zone 6,Mbabane Street,900286
Abuja (Capital),Wuse Zone 6,Nnamdi Azikiwa Exwy,900286
Abuja (Capital),Wuse Zone 6,Rabat Street,900286
Abuja (Capital),Wuse Zone 6,Sudan Street,900286
Abuja (Capital),Wuse Zone 6,Tanga Street,900286
Abuja (Capital),Wuse Zone 6,Tema Street,900286
Abuja (Capital),Wuse Zone 6,Timbukku Street,900286
Abuja (Capital),Wuse Zone 6,Yaounde Street,900286
Abuja (Capital),Wuse Zone 6,Yunis Street,900286
Abuja (Capital),Wuse Zone 6,Bamako Cresent,900287
Abuja (Capital),Wuse Zone 7,Bamako Cresent,900287
Abuja (Capital),Wuse Zone 7,Bambari Cresent,900287
Abuja (Capital),Wuse Zone 7,Choma Street,900287
Abuja (Capital),Wuse Zone 7,Huambo Cresent,900287
Abuja (Capital),Wuse Zone 7,Hamper Cresent,900287
Abuja (Capital),Wuse Zone 7,Lome Cresent,900287
Abuja (Capital),Wuse Zone 7,Nigoma Street,900287
Abuja (Capital),Wuse Zone 7,Nouahcholt Street,900287
Abuja (Capital),Wuse Zone 7,Olusegun Obasanjo Way,900287
Abuja (Capital),Wuse Zone 7,Sirasso Cresent,900287
Abuja (Capital),Wuse Zone 7,Sunyani Street,900287
Kwali,Ashara,2 Tudu,904108
Kwali,Ashara,Ahuwye,904108
Kwali,Ashara,Akapo,904108
Kwali,Ashara,Angun Tunga,904108
Kwali,Ashara,Angun Wakili,904108
Kwali,Ashara,Angun Woji Woji,904108
Kwali,Ashara,Ashara,904108
Kwali,Ashara,Bassoni,904108
Kwali,Ashara,Bodolo,904108
Kwali,Ashara,Chekanci,904108
Kwali,Ashara,Daganaruwa Bassa,904108
Kwali,Ashara,Damakusa Gwari,904108
Kwali,Ashara,Daniwayo,904108
Kwali,Ashara,Eke,904108
Kwali,Ashara,Gomani,904108
Kwali,Ashara,Gorgbe,904108
Kwali,Ashara,Gulo,904108
Kwali,Ashara,Gwaji,904108
Kwali,Ashara,Gwan auta,904108
Kwali,Ashara,Huton,904108
Kwali,Ashara,Janruwa,904108
Kwali,Ashara,Kona Mada,904108
Kwali,Ashara,Kpessili,904108
Kwali,Ashara,Kukka,904108
Kwali,Ashara,Kukka Bushe,904108
Kwali,Ashara,Kundu Lele,904108
Kwali,Ashara,Kunguni,904108
Kwali,Ashara,Maikwari,904108
Kwali,Ashara,Mumun,904108
Kwali,Ashara,Nboni,904108
Kwali,Ashara,Nzakpara,904108
Kwali,Ashara,Padama,904108
Kwali,Ashara,Puka,904108
Kwali,Ashara,Pukafa,904108
Kwali,Ashara,Rarra,904108
Kwali,Ashara,Riwaza,904108
Kwali,Ashara,Sabo Gari Gurara,904108
Kwali,Ashara,Sadaba,904108
Kwali,Ashara,Sharra,904108
Kwali,Ashara,T. Sarki,904108
Kwali,Ashara,Takuro Mallan,904108
Kwali,Ashara,Tekpesse,904108
Kwali,Ashara,Tudu Wada Mangu,904108.
Kwali,Ashara,Azaya,904102
Kwali,Dafa,Azaya,904102
Kwali,Dafa,Dafa,904102
Kwali,Dafa,Dafa SaboDaji,904102
Kwali,Dafa,Galo,904102
Kwali,Dafa,Gugwa,904102
Kwali,Dafa,Kangon Adamu,904102
Kwali,Dafa,Kpewuye,904102
Kwali,Dafa,Kye,904102
Kwali,Dafa,Puka,904102
Kwali,Dafa,Tungan Galadima,904102
Kwali,Dafa,Tungan Gani,904102
Kwali,Dafa,Tungan Guli,904102
Kwali,Dafa,Tungan Tofa,904102.
Kwali,Dafa,Anini,904107
Kwali,Gumbo,Anini,904107
Kwali,Gumbo,Elle,904107
Kwali,Gumbo,Gidan Duniya,904107
Kwali,Gumbo,Gidan Makaniki,904107
Kwali,Gumbo,Gumbo,904107
Kwali,Gumbo,Kamadi,904107
Kwali,Gumbo,Kwaita Hausa,904107
Kwali,Gumbo,Lukoda,904107
Kwali,Gumbo,Piri,904107
Kwali,Gumbo,Shepikati,904107
Kwali,Gumbo,Tusun Fulani,904107
Kwali,Gumbo,Tutubwa,904107.
Kwali,Gumbo,Chukuku,904104
Kwali,Kilankwa,Chukuku,904104
Kwali,Kilankwa,Kilankwa I,904104
Kwali,Kilankwa,Kilankwa II,904104
Kwali,Kilankwa,Petti,904104
Kwali,Kilankwa,Sheda Galadima,904104
Kwali,Kilankwa,Sheda Sarki,904104.
Kwali,Kilankwa,Bonugo,904105
Kwali,Kwali,Bonugo,904105
Kwali,Kwali,Dafara,904105
Kwali,Kwali,Ebo,904105
Kwali,Kwali,Farakuti,904105
Kwali,Kwali,Farakuti I,904105
Kwali,Kwali,Farakuti II,904105
Kwali,Kwali,Fulani,904105
Kwali,Kwali,Kigbe,904105
Kwali,Kwali,Koda,904105
Kwali,Kwali,Kwaida Tsoho,904105
Kwali,Kwali,Kwaita Sabo,904105
Kwali,Kwali,Kwali,904105
Kwali,Kwali,Lambata,904105
Kwali,Kwali,Leda,904105
Kwali,Kwali,Police Barracks,904105
